regulator,coef_tumor,sem_tumor
MBTPS2,0.0022208347424665,0.0002297462130647
ZNF165,0.002216081643364,0.0001518482417713
SERF1B,0.0022147787482913,0.0002375409992687
HOOK3,0.0022126574870525,0.0002620388740413
TMED4,0.002211803000877,0.0002125088703185
ATRX,0.0022107130726253,0.0002570897623753
PHF12,0.0022083965020688,0.0004448844861977
AP1M1,0.0022069042158356,0.0002369996501518
MPIG6B,0.0022055406078948,0.0001801202004045
MRPS16,0.0022039929605758,0.000156572358212
ZNF641,0.0022018162629216,0.0001994484215073
SNX8,0.0021924949361958,0.0001637634662159
NRG2,0.002191746231453,0.0002274035895075
PAK1,0.0021855499824175,6.380344877170746e-05
PCNX3,0.0021837401328104,0.0005410347990583
DOCK2,0.0021680298410761,0.0002262523147392
CNOT4,0.0021633744802952,0.0002391360546665
STIP1,0.002157992113431,0.000114965339427
MEN1,0.0021524379312261,0.0003429188846585
MAN2A1,0.0021511052723043,0.0001537828543482
LRRC8B,0.0021508644858902,0.0002216508547889
GLS,0.0021486645218283,0.0002699415756724
SP2,0.0021451482318812,0.0001647948788391
NPC2,0.0021434945113958,0.0001712750781855
ARFGEF1,0.0021373356585006,0.0002057522137024
TTC39C,0.0021293019915972,0.0001483679005869
N6AMT1,0.0021268248903721,0.0003706446331885
DPY19L3,0.0021254297778891,0.0001408111608094
VBP1,0.0021188232368068,0.0002338644453373
ZBTB7A,0.0021162188166248,0.0002542034273251
ST7L,0.0021123874985278,3.949131787652365e-05
ACSS1,0.0020993093302502,0.0001447436948984
NKX2-2,0.0020938709869535,0.0002156184041128
NR2F6,0.0020935509200707,0.0001871100632517
ZBTB2,0.0020914634541343,0.0002602493481454
TARBP2,0.0020829281757392,0.0004878003466416
CSGALNACT1,0.0020804537219867,0.0002639087812193
CEP295,0.0020800518978847,0.0002460307389523
FOXN2,0.0020800360435935,0.0002448060776997
ZNF16,0.0020793091951194,0.0004350145153535
TIPRL,0.0020755709354438,0.0002254095413223
CTSK,0.0020753844697015,0.0001443672777819
TRIM28,0.002074271230624,0.0003183298160631
LAT2,0.0020684268385164,0.000115581900027
SLC25A1,0.0020652261153281,0.0002956134254365
GNG11,0.0020567753726721,0.0003028250370099
DPH6,0.002054734913427,6.707303817833614e-05
THRA,0.0020408935249528,0.0002108238376882
UBAC1,0.0020393339307501,0.0001676143427902
NPHP4,0.002026958650948,0.0003937125918012
EIF4E,0.002026243698288,0.000325025156036
ACSL6,0.0020253616948799,9.566547594080802e-05
NSD1,0.0020247602542399,0.0005661101663486
HNRNPD,0.0020246078099885,0.0003433326950232
GTF2I,0.0020236489180539,0.0001564522877422
ABCA1,0.002017378966986,0.0001429790972577
CAMK1,0.0020154670799857,0.000170081488178
DEFA6,0.0020086448944777,0.0001873497147153
EMX1,0.0020084026725,0.0001563092093961
PDCL,0.002005860481653,0.0001808509527275
EOLA1,0.0020054036924683,0.0001666410277248
ZDHHC12,0.0019963596382074,8.700432221468814e-05
S100A11,0.0019958478721073,0.0003312498286144
ANKRD27,0.0019941675259311,0.0001949275292215
KDM6A,0.0019909512394773,0.0003616231317305
RAB11FIP1,0.0019856809009754,0.0001620023089595
HPS4,0.0019854086430494,0.0002106294353016
USP40,0.0019835234367581,0.0001469451558313
ORMDL2,0.0019827639124667,0.0001186093628925
SLC25A27,0.0019790977525267,0.0002069002661526
ZC3HC1,0.0019744062657824,0.0002364746098086
ZNF561,0.0019642537129764,0.0002154895614421
RABGEF1,0.0019564964168195,0.0002621999927966
BCL9L,0.0019528494407715,7.083222425632444e-05
