gene,z_discovery_tumor,log2FC_tumor,lfcSE_tumor,padj_tumor,z_tumor_splitA,z_tumor_splitB
CCL4,3.8082716583989127,0.8913413441798248,0.2340540339904653,0.0139384566115437,1.619036878015753,5.598324940052124
PDIA6,3.805784223914625,0.4829896572558184,0.1269093644933489,0.0139384566115437,2.539508251476032,2.997722291191417
MAP2K7,3.8010877868531487,0.7356429291682296,0.1935348432921237,0.0141060110509148,2.0509387384397804,3.0291772487693978
CDKN2A,3.789453824024547,1.0310848758544895,0.272093268248203,0.0143341792908213,2.918393127980188,2.383040103438338
APOBEC3G,3.784377762994736,0.5812355666404168,0.1535881465967765,0.0143341792908213,2.573623966433277,3.1368112313770147
GBP1,3.780866960604927,0.6757925756407381,0.1787401097902194,0.0143341792908213,1.8598722400480403,3.770796607195495
TP73,3.779886293278721,1.390515624383253,0.3678723423124726,0.0143341792908213,3.2539524877948693,2.244461765654709
SPC25,3.7797226589312793,1.9065997175551348,0.504428469916951,0.0143341792908213,3.679583800579607,1.403902258627287
GAS2L3,3.777552914269797,3.491635950174334,0.9243115925615748,,2.827577774057872,2.26057066563933
SNRPD3,3.777080943589407,0.4070338296969867,0.1077641267889211,0.0143341792908213,3.2434259685726574,1.9360648938806424
HJURP,3.765618300246832,1.813351617601438,0.4815548133177956,0.0149118999566319,3.4483870499916214,1.7842375349180577
MCOLN2,3.76401204238749,0.771650364512768,0.2050074111939649,0.014912471216381,2.642919381847494,2.6037409860289547
PARL,3.7614258813387664,0.5470288569542008,0.1454312471417095,0.0149721690465078,3.636022979951676,1.480692211376556
CARHSP1,3.7562007640429456,0.3956826958867169,0.1053411999897545,0.0151919340006154,3.97499909548538,1.3233895159227245
ACOT9,3.753805269016191,0.773222249988171,0.2059835805470057,0.0152420686870326,2.180566710369693,3.1608279787115245
NDUFAB1,3.745253328235724,0.464400018257131,0.1239969576306059,0.01567283328775,3.20233303352191,1.857661369701341
SNAP47,3.739395119981795,0.62019679682034,0.1658548446796281,0.0159435752109902,2.021693510454885,3.618801052397554
GPS1,3.7329166171068433,0.3898566901838987,0.1044375565200952,0.016062013862077,3.5497449976609348,1.5500043082335246
TNFAIP2,3.7177320614564806,2.846652380719902,0.76569594948289,,1.3724694553504488,4.02629365912557
TALDO1,3.716590571914968,0.4597612341068611,0.1237051069281408,0.0170326126074111,3.162057963796495,2.164121200808266
ZDHHC12,3.708116249986048,0.5889895662398029,0.1588379453427381,0.017441956394416,2.5681392841600643,3.119539332850569
DFNB31,3.7075506363214656,0.6895183029364207,0.185976772962039,0.017441956394416,3.13528397086456,2.0224266728505813
SEC14L1,3.699548615384941,0.6609034885361983,0.1786443583381403,0.0175825447047508,2.265079598290693,2.876733358883157
DUSP23,3.687206434092623,0.6375692462037679,0.1729139004284326,0.0181057370775291,3.0469052983161333,2.309303641853129
MT2A,3.6838722999837854,0.5425294279391708,0.1472715077397114,0.0181057370775291,2.5930247145202694,2.807860528826081
TMEM70,3.681964037597682,0.6141999014238365,0.166813117985958,0.0181057370775291,3.6073088423317343,1.653088163805554
MEX3C,3.681944599422856,0.6622043096132536,0.1798517853085171,0.0181057370775291,3.6820713073900353,1.4642125075740875
TRIP13,3.678306459770492,1.7621989446616908,0.4790788815273547,0.0181825154503607,3.19655935554151,1.9180471496703293
RP11-234B24.6,3.677362478231361,0.8046073897667347,0.2188001304004475,0.0181825154503607,3.0751179485457274,1.712836503757201
CHST12,3.6766262241891146,0.6238836826926171,0.1696891782438982,0.0181825154503607,1.7441166943424886,4.332874857541423
AC015987.2,3.668437467716317,0.8919600991440669,0.243144419659232,0.0186575640339268,2.7609665236086958,2.211461926641959
IFI27L1,3.66724414688517,1.4696213297270395,0.4007427023846462,0.0186575640339268,3.708766021284429,1.6347054166251516
CASC5,3.66492194510923,1.27106578008032,0.3468193317941009,0.0187258985018216,4.054353423864347,0.9016560461739804
LY6E,3.660049209358393,0.4215117883939668,0.1151656068765965,0.018899120710978,1.619031223330587,4.109999497189415
AURKB,3.658443220169776,1.8810585351280744,0.514169121105228,0.018899120710978,3.1534844132507325,1.8603342769544844
PPP1CA,3.65524961809852,0.2709914777119722,0.0741376119349527,0.0190347085802301,2.573840033233413,2.402131961007851
MYO1G,3.641086093173972,0.434705270331663,0.1193889018846917,0.019912514220312,2.274064710062257,3.3570957288897967
SMC2,3.639238636564153,0.9713207017206004,0.2669021734275814,0.019912514220312,4.675518626956145,0.6302840717439852
ANLN,3.6355165123128974,1.6106616844833226,0.443035172314106,0.0200231647317079,3.082072501497924,1.9990324267016155
